"Date";"Time";"Temperature";"DewPoint";"Humidity";"Wind";"WindSpeed";"WindGust";"Pressure";"Precip.";"Condition"
"2018-1-4";"4:00AM";"36F";"34F";"93%";"SSE";"2mph";"0mph";"28.90in";"0.0in";"Drizzle"
"2018-1-4";"4:30AM";"34F";"32F";"93%";"CALM";"0mph";"0mph";"28.90in";"0.0in";"Drizzle"
"2018-1-4";"5:00AM";"34F";"34F";"100%";"CALM";"0mph";"0mph";"28.87in";"0.0in";"LightDrizzle"
"2018-1-4";"5:30AM";"34F";"34F";"100%";"CALM";"0mph";"0mph";"28.87in";"0.0in";"Cloudy"
"2018-1-4";"6:00AM";"34F";"34F";"100%";"S";"1mph";"0mph";"28.87in";"0.0in";"Cloudy"
"2018-1-4";"6:30AM";"34F";"34F";"100%";"CALM";"0mph";"0mph";"28.90in";"0.0in";"Cloudy"
"2018-1-4";"7:00AM";"34F";"34F";"100%";"CALM";"0mph";"0mph";"28.90in";"0.0in";"Cloudy"
"2018-1-4";"7:30AM";"34F";"32F";"93%";"CALM";"0mph";"0mph";"28.90in";"0.0in";"LightDrizzle"
"2018-1-4";"8:00AM";"34F";"34F";"100%";"CALM";"0mph";"0mph";"28.90in";"0.0in";"LightRain"
"2018-1-4";"8:30AM";"34F";"34F";"100%";"CALM";"0mph";"0mph";"28.93in";"0.0in";"LightRain"
"2018-1-4";"9:00AM";"36F";"34F";"93%";"CALM";"0mph";"0mph";"28.93in";"0.0in";"LightRain"
"2018-1-4";"9:30AM";"36F";"36F";"100%";"CALM";"0mph";"0mph";"28.96in";"0.0in";"LightDrizzle"
"2018-1-4";"10:00AM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"28.96in";"0.0in";"LightDrizzle"
"2018-1-4";"10:30AM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"28.96in";"0.0in";"PartlyCloudy"
"2018-1-4";"11:00AM";"39F";"37F";"93%";"NW";"6mph";"0mph";"28.96in";"0.0in";"MostlyCloudy"
"2018-1-4";"11:30AM";"41F";"37F";"87%";"NW";"7mph";"0mph";"28.99in";"0.0in";"MostlyCloudy"
"2018-1-4";"12:00PM";"41F";"37F";"87%";"W";"5mph";"0mph";"28.99in";"0.0in";"MostlyCloudy"
"2018-1-4";"12:30PM";"45F";"37F";"76%";"WNW";"6mph";"0mph";"28.99in";"0.0in";"PartlyCloudy"
"2018-1-4";"1:00PM";"45F";"37F";"76%";"WNW";"6mph";"0mph";"28.96in";"0.0in";"MostlyCloudy"
"2018-1-4";"1:30PM";"46F";"37F";"71%";"WNW";"8mph";"0mph";"28.96in";"0.0in";"MostlyCloudy"
"2018-1-4";"2:00PM";"46F";"36F";"66%";"NW";"8mph";"0mph";"28.96in";"0.0in";"MostlyCloudy"
"2018-1-4";"2:30PM";"46F";"36F";"66%";"NW";"6mph";"0mph";"28.96in";"0.0in";"MostlyCloudy"
"2018-1-4";"3:00PM";"46F";"36F";"66%";"NW";"5mph";"0mph";"28.96in";"0.0in";"PartlyCloudy"
"2018-1-4";"3:30PM";"48F";"36F";"62%";"NNW";"5mph";"0mph";"28.99in";"0.0in";"PartlyCloudy"
"2018-1-4";"4:00PM";"50F";"34F";"54%";"NE";"3mph";"0mph";"28.96in";"0.0in";"PartlyCloudy"
"2018-1-4";"4:30PM";"48F";"34F";"57%";"NNE";"2mph";"0mph";"28.96in";"0.0in";"PartlyCloudy"
"2018-1-4";"5:00PM";"46F";"32F";"57%";"NNE";"3mph";"0mph";"28.99in";"0.0in";"Fair"
"2018-1-4";"5:30PM";"43F";"34F";"70%";"ENE";"5mph";"0mph";"29.02in";"0.0in";"Fair"
"2018-1-4";"6:00PM";"41F";"32F";"70%";"NE";"5mph";"0mph";"29.02in";"0.0in";"Fair"
"2018-1-4";"6:30PM";"41F";"32F";"70%";"E";"2mph";"0mph";"29.02in";"0.0in";"Fair"
"2018-1-4";"7:00PM";"39F";"32F";"75%";"NE";"3mph";"0mph";"29.02in";"0.0in";"Fair"
"2018-1-4";"7:30PM";"36F";"32F";"87%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"Fair"
"2018-1-4";"8:00PM";"36F";"30F";"81%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"Fair"
"2018-1-4";"8:30PM";"36F";"30F";"81%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"Fair"
"2018-1-4";"9:00PM";"34F";"30F";"87%";"S";"2mph";"0mph";"29.05in";"0.0in";"Fair"
"2018-1-4";"9:30PM";"32F";"30F";"93%";"E";"2mph";"0mph";"29.05in";"0.0in";"Fair"
"2018-1-4";"10:00PM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.08in";"0.0in";"Fair"
"2018-1-4";"10:30PM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.08in";"0.0in";"Fair"
"2018-1-4";"11:00PM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.08in";"0.0in";"Fair"
"2018-1-4";"11:30PM";"30F";"30F";"100%";"CALM";"0mph";"0mph";"29.08in";"0.0in";"Fair"
"2018-1-4";"12:00AM";"28F";"27F";"93%";"E";"3mph";"0mph";"29.05in";"0.0in";"Fair"
"2018-1-4";"12:30AM";"28F";"27F";"93%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"Fair"
"2018-1-5";"1:00AM";"28F";"27F";"93%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"Fair"
"2018-1-5";"1:30AM";"28F";"27F";"93%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"Fair"
"2018-1-5";"2:00AM";"28F";"28F";"100%";"E";"2mph";"0mph";"29.05in";"0.0in";"Fair"
"2018-1-5";"2:30AM";"28F";"28F";"100%";"E";"2mph";"0mph";"29.05in";"0.0in";"Fair"
"2018-1-5";"3:00AM";"27F";"25F";"93%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"PartlyCloudy"
"2018-1-5";"3:30AM";"27F";"25F";"93%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"PartlyCloudy"
"2018-1-5";"4:00AM";"27F";"25F";"93%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"MostlyCloudy"
"2018-1-5";"4:30AM";"28F";"27F";"93%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"MostlyCloudy"
"2018-1-5";"5:00AM";"28F";"27F";"93%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"MostlyCloudy"
"2018-1-5";"5:30AM";"28F";"27F";"93%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"MostlyCloudy"
"2018-1-5";"6:00AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"MostlyCloudy"
"2018-1-5";"6:30AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.05in";"0.0in";"MostlyCloudy"
