"Date";"Time";"Temperature";"DewPoint";"Humidity";"Wind";"WindSpeed";"WindGust";"Pressure";"Precip.";"Condition"
"2015-12-3";"10:30PM";"37F";"34F";"87%";"CALM";"0mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-3";"11:00PM";"37F";"36F";"93%";"NE";"2mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-3";"11:30PM";"36F";"34F";"93%";"ESE";"2mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-3";"12:00AM";"34F";"32F";"93%";"SSE";"2mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-3";"12:30AM";"34F";"32F";"93%";"SSE";"2mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-4";"1:00AM";"34F";"32F";"93%";"CALM";"0mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-4";"1:30AM";"36F";"34F";"93%";"NE";"2mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"2:00AM";"34F";"32F";"93%";"SE";"2mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"2:30AM";"32F";"30F";"93%";"S";"2mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"3:00AM";"32F";"32F";"100%";"NE";"1mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"3:30AM";"32F";"30F";"93%";"S";"1mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"4:00AM";"32F";"30F";"93%";"E";"1mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"4:30AM";"32F";"30F";"93%";"E";"1mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"5:00AM";"30F";"30F";"100%";"CALM";"0mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"5:30AM";"30F";"30F";"100%";"CALM";"0mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"6:00AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"Mist"
"2015-12-4";"7:00AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"Mist"
"2015-12-4";"7:30AM";"28F";"28F";"100%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"Mist"
"2015-12-4";"8:00AM";"28F";"28F";"100%";"ESE";"1mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-4";"8:30AM";"28F";"28F";"100%";"ESE";"1mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-4";"9:00AM";"30F";"30F";"100%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Fair"
"2015-12-4";"9:30AM";"34F";"32F";"93%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Fair"
"2015-12-4";"10:00AM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Fair"
"2015-12-4";"10:30AM";"39F";"36F";"87%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Fair"
"2015-12-4";"11:00AM";"41F";"36F";"81%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Fair"
"2015-12-4";"11:30AM";"43F";"37F";"81%";"N";"1mph";"0mph";"29.71in";"0.0in";"MostlyCloudy"
"2015-12-4";"12:00PM";"45F";"39F";"81%";"VAR";"1mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-4";"12:30PM";"46F";"39F";"76%";"NNW";"1mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-4";"1:00PM";"48F";"41F";"76%";"VAR";"2mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"1:30PM";"50F";"41F";"71%";"VAR";"2mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"2:00PM";"52F";"41F";"67%";"N";"2mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"2:30PM";"52F";"43F";"71%";"VAR";"1mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-4";"3:00PM";"54F";"43F";"67%";"CALM";"0mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-4";"3:30PM";"54F";"43F";"67%";"CALM";"0mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-4";"4:00PM";"54F";"43F";"67%";"W";"2mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-4";"4:30PM";"54F";"43F";"67%";"W";"1mph";"0mph";"29.65in";"0.0in";"Fair"
